Examination,Date,Question Number,Question Type,Credit,Weight,Standard,Domain,Scoring Key,1,2,3,4,Blank,Question,Percentage Correct,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Algebra I,June '22,1,MC,2,1,S-ID,Interpreting Categorical and Quantitative Data,2,,,,,,,,,,,,,,,
Algebra I,June '22,2,MC,2,1,F-IF,Interpreting Functions,2,,,,,,,,,,,,,,,
Algebra I,June '22,3,MC,2,1,F-BF,Building Functions,2,,,,,,,,,,,,,,,
Algebra I,June '22,4,MC,2,1,A-SSE,Seeing Structure in Expressions,4,,,,,,,,,,,,,,,
Algebra I,June '22,5,MC,2,1,A-CED,Creating Equations,3,,,,,,,,,,,,,,,
Algebra I,June '22,6,MC,2,1,F-IF,Interpreting Functions,2,,,,,,,,,,,,,,,
Algebra I,June '22,7,MC,2,1,F-LE,"Linear, Quadratic, and Exponential Models",1,,,,,,,,,,,,,,,
Algebra I,June '22,8,MC,2,1,A-REI,Reasoning with Equations and Inequalities,3,,,,,,,,,,,,,,,
