Examination,Date,Question Number,Question Type,Standard,Cluster,Domain,Scoring Key,1,2,3,4,Blank,Question,Percentage Correct,Standard.Cluster,,
Algebra I,August '15,7,MC,F-LE,A,"Linear, Quadratic, and Exponential Models",3,6.38%,46.17%,43.49%,3.72%,0.25%,https://docs.google.com/a/newvisions.org/document/d/1881WSXUwSrpexdvy051yOUr36pTPm4t271UYIaO0i1Q/edit?usp=drivesdk,0.43,F-LE.A,,
Algebra I,August '15,8,MC,F-BF,A,Building Functions,4,8.26%,8.16%,37.18%,46.15%,0.25%,https://docs.google.com/a/newvisions.org/document/d/1n5l8NrEzFhdVeVC-lX3WQu22lYCZtIWGyfbmIFSsSdA/edit?usp=drivesdk,0.46,F-BF.A,,
Algebra I,August '15,9,MC,A-SSE,A,Seeing Structure in Expressions,3,31.78%,14.10%,45.25%,8.75%,0.11%,https://docs.google.com/a/newvisions.org/document/d/1eiL9nyIXDSRX0qStmQFEMbTcWOJ9rORuBL_VCOzDG_I/edit?usp=drivesdk,0.45,A-SSE.A,,
Algebra I,August '15,10,MC,A-REI,C,Reasoning with Equations and Inequalities,2,7.32%,48.66%,14.58%,29.12%,0.33%,https://docs.google.com/a/newvisions.org/document/d/1kiDn3QRWgThmPiALNYA0TtFmJ9PVlQnGD-u7QW9G44c/edit?usp=drivesdk,0.49,A-REI.C,,
Algebra I,August '15,11,MC,F-IF,A,Interpreting Functions,2,18.97%,44.41%,11.05%,25.44%,0.13%,https://docs.google.com/a/newvisions.org/document/d/1y7fYF_NC6BY23vIHW7UvZOyW4U2IB2MVTYWlYqNVmhM/edit?usp=drivesdk,0.44,F-IF.A,,
Algebra I,August '15,12,MC,F-IF,A,Interpreting Functions,3,26.67%,29.25%,30.21%,13.43%,0.44%,https://docs.google.com/a/newvisions.org/document/d/1RyPx962I-5qNBYzctEOWsAVDBjoZx5iRwE2qaDH2vP4/edit?usp=drivesdk,0.30,F-IF.A,,
Algebra I,August '15,13,MC,A-SSE,B,Seeing Structure in Expressions,4,16.55%,19.62%,20.34%,43.31%,0.17%,https://docs.google.com/a/newvisions.org/document/d/1L0SZMQKGLaYGuEOvlYwOYmBaAQ03X9hqOeJKOQYWojs/edit?usp=drivesdk,0.43,A-SSE.B,,
Algebra I,August '15,14,MC,F-IF,A,Interpreting Functions,1,40.46%,13.05%,35.44%,10.57%,0.48%,https://docs.google.com/a/newvisions.org/document/d/18nIELUN56kBs0xXeI6rTazeRZ4-pYWzVjf73bjT1sYE/edit?usp=drivesdk,0.40,F-IF.A,,
Algebra I,August '15,15,MC,F-IF,B,Interpreting Functions,1,22.49%,9.25%,40.00%,28.07%,0.19%,https://docs.google.com/a/newvisions.org/document/d/1-4eQ4hkx3pDQTQeRiR_3nznBqiP0FtOBxS4TtewDJ5Q/edit?usp=drivesdk,0.22,F-IF.B,,
Algebra I,August '15,16,MC,F-IF,C,Interpreting Functions,2,16.02%,40.08%,19.02%,24.54%,0.34%,https://docs.google.com/a/newvisions.org/document/d/1okDGcsRxp6GmyVIKtQT9y-5P25upubsHLOTv5_VCB58/edit?usp=drivesdk,0.40,F-IF.C,,
Algebra I,August '15,17,MC,A-REI,D,Reasoning with Equations and Inequalities,2,16.49%,37.24%,12.59%,33.41%,0.27%,https://docs.google.com/a/newvisions.org/document/d/1rufPu3P8OTvapPQeCxNTsGe9bHUebzxR7MMxz5C-E-U/edit?usp=drivesdk,0.37,A-REI.D,,
Algebra I,August '15,18,MC,F-LE,A,"Linear, Quadratic, and Exponential Models",3,25.44%,22.72%,34.71%,16.76%,0.36%,https://docs.google.com/a/newvisions.org/document/d/1P6-EgGHt6IruZP581AzvRwtNDsrbunvj0Pa7hu-li_w/edit?usp=drivesdk,0.35,F-LE.A,,
Algebra I,August '15,19,MC,S-ID,A,Interpreting Categorical and Quantitative Data,1,29.02%,20.63%,36.59%,13.35%,0.40%,https://docs.google.com/a/newvisions.org/document/d/1uUROnp-ouJMblqGpYv162zxBvxmHH7G45nvVA7FhJEQ/edit?usp=drivesdk,0.29,S-ID.A,,
Algebra I,August '15,20,MC,A-SSE,B,Seeing Structure in Expressions,1,29.39%,29.48%,21.42%,19.25%,0.46%,https://docs.google.com/a/newvisions.org/document/d/1JT-z_IETDYhyLlsw_qrj8yEotb2dZwc5tzKRKkhj6Xc/edit?usp=drivesdk,0.29,A-SSE.B,,
Algebra I,August '15,21,MC,F-IF,C,Interpreting Functions,4,22.09%,25.21%,27.93%,24.21%,0.56%,https://docs.google.com/a/newvisions.org/document/d/16ImNaM35ZMiJwzFzRZUWlhEDfEO_wblXFnvk9ZLXdzo/edit?usp=drivesdk,0.24,F-IF.C,,
Algebra I,August '15,22,MC,N-RN,B,The Real Number System,2,27.38%,37.62%,19.81%,14.94%,0.25%,https://docs.google.com/a/newvisions.org/document/d/13thdsPIJrj85Uz8rG1u-T6HnlHKPMF9UzJx6xxVTIfA/edit?usp=drivesdk,0.38,N-RN.B,,
Algebra I,August '15,23,MC,A-REI,B,Reasoning with Equations and Inequalities,3,39.87%,21.11%,28.51%,10.13%,0.38%,https://docs.google.com/a/newvisions.org/document/d/1umALkCgMHmMbCSASeabQGnpzvNjEBBUKLBKBnn57BKs/edit?usp=drivesdk,0.29,A-REI.B,,
Algebra I,August '15,24,MC,A-APR,A,Arithmetic with Polynomials and Rational Expressions,4,32.34%,22.39%,21.84%,23.07%,0.36%,https://docs.google.com/a/newvisions.org/document/d/12e1vYGGMAdZEdhYF0ZTwUEK0-N1K_xtovUcn1KN47YM/edit?usp=drivesdk,0.23,A-APR.A,,
Algebra I,August '18,1,MC,A-SSE,B,Seeing Structure in Expressions,2,24.67%,54.00%,13.03%,8.15%,0.15%,https://docs.google.com/document/d/1gFvhSJaTWloSsL0VzkU0kjuG5UctRoQetrnH_467vgk/edit?usp=drivesdk,0.54,A-SSE.B,,
Algebra I,August '18,2,MC,S-ID,C,Interpreting Categorical and Quantitative Data,1,73.86%,10.80%,9.51%,5.67%,0.17%,https://docs.google.com/document/d/1gF465W8Pan4r7IH7frARhaINXVVFao_a8u_5Hhm0xGI/edit?usp=drivesdk,0.74,S-ID.C,,
Algebra I,August '18,3,MC,A-SSE,A,Seeing Structure in Expressions,3,10.37%,16.52%,52.58%,20.16%,0.37%,https://docs.google.com/document/d/1mKjFrvTDZqCUQcOoyEyienP3xAA8MYJB-VWh5bNuFaE/edit?usp=drivesdk,0.53,A-SSE.A,,
Algebra I,August '18,4,MC,A-REI,B,Reasoning with Equations and Inequalities,2,20.34%,45.07%,12.28%,21.92%,0.39%,https://docs.google.com/document/d/1JPdItJ3wt0w7esiwbVqxjb03pQdElTvTH5qhYNYNEso/edit?usp=drivesdk,0.45,A-REI.B,,
Algebra I,August '18,5,MC,F-IF,A,Interpreting Functions,1,54.91%,13.11%,14.79%,16.73%,0.47%,https://docs.google.com/document/d/1dNTAW5IoBMRqf2hoQQ4FW4UatRnOeDh4QTwiDp1BvlU/edit?usp=drivesdk,0.55,F-IF.A,,
Algebra I,August '18,6,MC,F-IF,A,Interpreting Functions,2,21.72%,56.14%,13.44%,8.19%,0.51%,https://docs.google.com/document/d/1Qzx5r-fdCEHay60IV3N0d5Dt-FDNoeo70j1I1sv4Yno/edit?usp=drivesdk,0.56,F-IF.A,,
Algebra I,August '18,7,MC,F-BF,B,Building Functions,3,17.10%,13.66%,58.01%,10.96%,0.26%,https://docs.google.com/document/d/1UPIva_g36Yqn8Fj1r1FaQGivzoSPb0KZgz2AAW7UQYY/edit?usp=drivesdk,0.58,F-BF.B,,
Algebra I,August '18,8,MC,A-SSE,A,Seeing Structure in Expressions,3,22.12%,18.96%,48.14%,10.52%,0.26%,https://docs.google.com/document/d/1VEojiy8TLiNPzAATx8WsLyE65gyF7-M6Ev92XDGQy30/edit?usp=drivesdk,0.48,A-SSE.A,,
Algebra I,August '18,9,MC,A-CED,A,Creating Equations,2,16.73%,53.13%,20.48%,9.52%,0.14%,https://docs.google.com/document/d/1ppW7QctxvCOvTsPKUlUuMxP8-muvxh0Vu8w-FQYIALw/edit?usp=drivesdk,0.53,A-CED.A,,
Algebra I,August '18,10,MC,F-IF,C,Interpreting Functions,2,15.65%,40.48%,19.12%,24.51%,0.24%,https://docs.google.com/document/d/1bfa8S24mrKOiqIYHSzWu8O-7jpNl9eO2_TeVKZC56zQ/edit?usp=drivesdk,0.40,F-IF.C,,
Algebra I,August '18,11,MC,A-CED,A,Creating Equations,4,15.16%,20.30%,25.04%,39.09%,0.40%,https://docs.google.com/document/d/1wPRTdwlqjGuaDFOJ5oxsoVVymD_Tb-_tZxGtoDlLVSY/edit?usp=drivesdk,0.39,A-CED.A,,
Algebra I,August '18,12,MC,N-Q,A,Quantities,3,11.06%,13.14%,49.67%,25.89%,0.25%,https://docs.google.com/document/d/1r_phNrlqTl00LVXv_1qIcQqbKdjHM-z5X5Q9o5nfvy4/edit?usp=drivesdk,0.50,N-Q.A,,
